Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/12/2010,@,Eastern Illinois,W,22,57,0.386,10,20,0.5,13,17,0.765,7,31,12,4,4,11,19,,20,54,0.37,3,11,0.273,12,21,0.571,9,37,10,4,6,13,23
11/14/2010,@,Iowa,W,29,67,0.433,10,21,0.476,11,15,0.733,8,33,18,11,4,10,21,,24,59,0.407,3,10,0.3,18,25,0.72,9,40,10,3,2,18,17
11/18/2010,,Southwest Minnesota State,W,31,64,0.484,8,17,0.471,24,32,0.75,11,33,12,8,5,10,13,,31,67,0.463,7,18,0.389,11,12,0.917,13,36,16,5,1,22,23
11/23/2010,,Idaho State,W,29,61,0.475,8,20,0.4,13,22,0.591,13,38,16,8,2,11,15,,17,46,0.37,5,15,0.333,8,16,0.5,8,29,6,7,4,20,18
11/27/2010,,Eastern Illinois,W,31,59,0.525,13,21,0.619,9,11,0.818,7,28,19,2,1,8,17,,19,50,0.38,4,10,0.4,16,20,0.8,7,27,14,4,1,10,15
11/30/2010,,Nevada,W,26,60,0.433,6,18,0.333,24,34,0.706,14,32,13,11,2,7,20,,23,47,0.489,6,15,0.4,13,21,0.619,7,31,10,2,4,22,26
12/4/2010,,North Dakota State,L,26,71,0.366,7,27,0.259,16,22,0.727,13,31,10,7,4,9,17,,33,72,0.458,4,13,0.308,12,17,0.706,23,50,6,5,5,18,22
12/8/2010,,Mayville State,W,32,67,0.478,7,17,0.412,13,22,0.591,16,44,20,6,4,11,16,,21,56,0.375,8,18,0.444,7,16,0.438,9,25,12,8,1,15,23
12/11/2010,,Milwaukee,L,28,62,0.452,5,17,0.294,9,12,0.75,12,28,14,7,2,6,19,,27,43,0.628,14,23,0.609,14,18,0.778,4,27,17,3,1,16,16
12/18/2010,@,Western Michigan,L,25,57,0.439,6,21,0.286,18,30,0.6,8,30,12,9,5,12,23,,28,58,0.483,3,8,0.375,18,23,0.783,10,32,7,7,3,16,25
12/20/2010,@,Central Michigan,W,24,48,0.5,7,16,0.438,17,23,0.739,8,35,12,1,7,19,18,,27,70,0.386,4,14,0.286,11,17,0.647,17,33,8,12,3,9,24
12/23/2010,@,Minnesota,L,26,65,0.4,10,27,0.37,11,13,0.846,9,29,17,6,0,16,23,,32,61,0.525,5,15,0.333,16,26,0.615,14,34,19,6,5,12,14
12/30/2010,@,UMKC,W,35,63,0.556,9,20,0.45,12,14,0.857,7,27,17,6,2,10,15,,26,54,0.481,6,19,0.316,13,19,0.684,8,28,8,6,6,14,15
1/1/2011,@,Southern Utah,W,32,59,0.542,10,20,0.5,31,46,0.674,11,29,16,6,1,13,28,,32,59,0.542,8,12,0.667,23,28,0.821,8,27,16,3,5,16,32
1/6/2011,,Centenary (LA),W,31,61,0.508,9,20,0.45,15,23,0.652,13,43,23,5,3,10,16,,21,54,0.389,4,12,0.333,16,23,0.696,6,27,11,6,4,10,15
1/8/2011,,Oral Roberts,L,29,59,0.492,13,29,0.448,11,21,0.524,8,21,14,7,1,9,15,,34,52,0.654,14,17,0.824,8,10,0.8,4,33,19,6,1,19,21
1/13/2011,@,Western Illinois,W,29,56,0.518,13,21,0.619,10,17,0.588,7,31,14,7,1,6,17,,18,45,0.4,6,14,0.429,8,14,0.571,5,26,8,3,0,12,16
1/15/2011,@,IUPUI,L,27,56,0.482,11,26,0.423,11,12,0.917,10,25,15,3,3,12,17,,34,57,0.596,5,13,0.385,8,13,0.615,10,24,15,5,3,7,14
1/20/2011,,Oakland,L,35,77,0.455,11,27,0.407,7,10,0.7,14,30,23,7,0,5,18,,37,67,0.552,12,26,0.462,11,17,0.647,15,43,18,3,3,13,15
1/22/2011,,Fort Wayne,W,30,63,0.476,10,24,0.417,17,19,0.895,11,38,17,5,5,6,18,,18,52,0.346,2,16,0.125,14,19,0.737,9,27,6,2,4,12,17
1/27/2011,,UMKC,L,22,63,0.349,6,24,0.25,8,12,0.667,14,32,13,5,5,10,18,,21,49,0.429,5,18,0.278,16,21,0.762,7,34,9,4,4,16,17
1/29/2011,,Southern Utah,W,32,57,0.561,13,23,0.565,19,23,0.826,9,24,19,12,4,12,17,,30,52,0.577,10,15,0.667,9,12,0.75,8,22,18,5,3,20,22
2/3/2011,@,Oral Roberts,L,26,58,0.448,8,27,0.296,13,19,0.684,8,27,9,4,1,6,20,,27,63,0.429,1,12,0.083,22,27,0.815,18,42,14,3,1,8,17
2/5/2011,@,Centenary (LA),W,35,65,0.538,12,26,0.462,20,26,0.769,12,41,23,10,2,14,22,,24,49,0.49,6,12,0.5,19,26,0.731,2,22,11,7,2,11,21
2/10/2011,,IUPUI,W,30,57,0.526,9,17,0.529,12,15,0.8,7,32,16,4,0,8,12,,27,60,0.45,7,23,0.304,9,9,1,8,26,11,6,3,9,14
2/12/2011,,Western Illinois,W,24,55,0.436,8,18,0.444,26,27,0.963,10,39,15,3,1,10,20,,19,54,0.352,9,21,0.429,14,20,0.7,7,27,11,5,0,12,22
2/17/2011,@,Fort Wayne,W,26,56,0.464,8,17,0.471,20,23,0.87,5,27,15,11,2,10,19,,24,52,0.462,5,17,0.294,11,20,0.55,8,27,10,6,5,16,21
2/19/2011,@,Oakland,L,36,79,0.456,10,28,0.357,14,17,0.824,12,36,16,4,1,5,20,,38,70,0.543,10,27,0.37,19,22,0.864,9,37,22,3,9,9,14
2/25/2011,@,North Dakota State,L,19,58,0.328,4,18,0.222,19,30,0.633,11,29,5,5,3,12,19,,30,60,0.5,8,17,0.471,16,24,0.667,13,44,15,9,1,13,22
3/6/2011,N,Fort Wayne,W,25,56,0.446,6,20,0.3,29,42,0.69,11,37,11,4,3,8,23,,29,61,0.475,5,17,0.294,12,20,0.6,8,30,14,1,3,8,28
3/7/2011,N,Oakland,L,32,65,0.492,9,25,0.36,17,23,0.739,11,29,15,1,4,8,12,,45,78,0.577,12,21,0.571,8,11,0.727,14,38,22,5,2,4,18
11/12/2011,,Western Michigan,W,29,63,0.46,9,28,0.321,15,20,0.75,9,28,14,7,4,12,23,,29,61,0.475,2,15,0.133,16,28,0.571,11,36,10,5,3,11,19
11/14/2011,@,Minnesota,L,19,52,0.365,6,20,0.3,11,21,0.524,8,31,8,8,2,17,19,,27,47,0.574,6,14,0.429,11,21,0.524,5,30,19,14,9,15,21
11/16/2011,@,Georgia,L,22,56,0.393,5,20,0.25,12,23,0.522,16,39,11,4,0,13,15,,27,67,0.403,6,29,0.207,12,15,0.8,17,37,12,6,6,7,15
11/21/2011,N,Niagara,W,23,57,0.404,4,20,0.2,29,47,0.617,12,35,9,8,3,10,16,,26,57,0.456,3,12,0.25,16,23,0.696,9,33,10,5,2,19,33
11/22/2011,N,Sam Houston State,W,22,51,0.431,10,24,0.417,23,32,0.719,10,28,16,8,1,15,15,,23,58,0.397,6,24,0.25,8,12,0.667,9,30,4,8,1,15,25
11/23/2011,@,Mercer,W,24,53,0.453,8,26,0.308,18,26,0.692,7,24,10,8,1,12,21,,19,48,0.396,8,20,0.4,15,20,0.75,6,28,13,7,3,23,25
11/26/2011,@,Nebraska,L,21,62,0.339,8,26,0.308,14,18,0.778,10,30,10,5,1,10,16,,28,57,0.491,5,14,0.357,15,18,0.833,7,36,13,8,3,12,20
